a, an;indefinite, article;A1;a, en
abandon;Verb;B2;överge
ability;Noun;A2;förmåga
able;Adjective;A2;stånd
about;prep. Adverb;A1;handla om
above;prep. Adverb;A1;ovan
abroad;Adverb;A2;utomlands
absolute;Adjective;B2;absolut
absolutely;Adverb;B1;absolut
academic;adj, Noun;B1, B2;akademisk
accept;Verb;A2;acceptera
acceptable;Adjective;B2;godtagbar
access;Noun Verb;B1;tillgång
accident;Noun;A2;olycka
accommodation;Noun;B1;boende
accompany;Verb;B2;följa
according to;prep.;A2;enligt
account;Noun Verb;B1, B2;konto
accurate;Adjective;B2;exakt
accuse;Verb;B2;anklaga
achieve;Verb;A2;uppnå
achievement;Noun;B1;prestation
acknowledge;Verb;B2;erkänna
acquire;Verb;B2;tillägna sig
across;prep. Adverb;A1;tvärs över
act;Verb Noun;A2,B1;spela teater
action;Noun;A1;handling
active;Adjective;A2;aktiva
activity;Noun;A1;aktivitet
actor;Noun;A1;skådespelare
actress;Noun;A1;skådespelerska
actual;Adjective;B2;faktisk
actually;Adverb;A2;faktiskt
ad;Noun;B1;ad
adapt;Verb;B2;anpassa
add;Verb;A1;Lägg till
addition;Noun;B1;tillägg
additional;Adjective;B2;ytterligare
address;Noun Verb;A1,B2;adress
administration;Noun;B2;administrering
admire;Verb;B1;beundra
admit;Verb;B1;erkänna
adopt;Verb;B2;anta
adult;Noun adj;A1,A2;vuxen
Advance;Noun Verb adj;B2;Förskott
Advanced;Adjective;B1;Avancerad
Advantage;Noun;A2;Fördel
Adventure;Noun;A2;Äventyr
Advertise;Verb;A2;Annonsera
Advertisement;Noun;A2;Annons
Advertising;Noun;A2;Reklam
Advice;Noun Verb;A1, B1;Råd
affair;Noun;B2;affär
affect;Verb;A2;påverka
afford;Verb;B1;råd
afraid;Adjective;A1;rädd
after;prep. conj. Adverb;A1,A2;efter
afternoon;Noun;A1;eftermiddag
afterwards;Adverb;B2;efteråt
again;Adverb;A1;om igen
against;prep;A2;mot
age;Noun Verb;A1, B1;ålder
aged;Adjective;B1;åldrig
agency;Noun;B2;byrå
agenda;Noun;B2;dagordning
agent;Noun;B1;ombud
aggressive;Adjective;B2;aggressiv
ago;Adverb;A1;sedan
agree;Verb;A1;hålla med
agreement;Noun;B1;avtal
ah;exclam.;A2;ah
ahead;Adverb;B1;ett huvud
aid;Noun Verb;B2;hjälpa
aim;Verb Noun;B1;syfte
air;Noun;A1;luft
aircraft;Noun;B2;flygplan
airline;Noun;A2;flygbolag
airport;Noun;A1;flygplats
alarm;Noun Verb;B1, B2;larm
album;Noun;B1;album
alcohol;Noun;B1;alkohol
alcoholic;Adjective;B1;alkoholhaltig
alive;Adjective;A2;Levande
all;det. pron, Adverb;A1, A2;Allt
all right;Adjective, Adverb exclam;A2;okej
allow;Verb;A2;tillåta
almost;Adverb;A2;nästan
alone;Adjective, Adverb;A2;ensam
along;prep. Adverb;A2;längs
already;Adverb;A2;redan
also;Adverb;A1;också
alter;Verb;B2;ändra
