a, an;indefinite, article;A1;ఒక, ఒక
abandon;Verb;B2;పరిత్యజించిన
ability;Noun;A2;సామర్థ్యాన్ని
able;Adjective;A2;సామర్థ్యం
about;prep. Adverb;A1;గురించి
above;prep. Adverb;A1;పైన
abroad;Adverb;A2;విదేశాల్లో
absolute;Adjective;B2;సంపూర్ణ
absolutely;Adverb;B1;ఖచ్చితంగా
academic;adj, Noun;B1, B2;విద్యా
accept;Verb;A2;అంగీకరించాలి
acceptable;Adjective;B2;ఆమోదయోగ్యమైన
access;Noun Verb;B1;యాక్సెస్
accident;Noun;A2;ప్రమాదంలో
accommodation;Noun;B1;వసతి
accompany;Verb;B2;వెంబడించే
according to;prep.;A2;ప్రకారం
account;Noun Verb;B1, B2;ఖాతా
accurate;Adjective;B2;కచ్చితమైన
accuse;Verb;B2;నిందిస్తారు
achieve;Verb;A2;సాధించడానికి
achievement;Noun;B1;ఘనకార్యం
acknowledge;Verb;B2;తెలియజేయడం
acquire;Verb;B2;ఆర్జనకు
across;prep. Adverb;A1;అంతటా
act;Verb Noun;A2,B1;పని
action;Noun;A1;చర్య
active;Adjective;A2;క్రియాశీల
activity;Noun;A1;కార్యకలాపాలు
actor;Noun;A1;నటుడు
actress;Noun;A1;నటి
actual;Adjective;B2;అసలు
actually;Adverb;A2;నిజానికి
ad;Noun;B1;ప్రకటన
adapt;Verb;B2;స్వీకరించే
add;Verb;A1;జోడించడానికి
addition;Noun;B1;అదనంగా
additional;Adjective;B2;అదనపు
address;Noun Verb;A1,B2;చిరునామా
administration;Noun;B2;పరిపాలన
admire;Verb;B1;ఆరాధిస్తాను
admit;Verb;B1;ఒప్పుకుంటే
adopt;Verb;B2;దత్తత
adult;Noun adj;A1,A2;వయోజన
Advance;Noun Verb adj;B2;అడ్వాన్స్
Advanced;Adjective;B1;ఆధునిక
Advantage;Noun;A2;అడ్వాంటేజ్
Adventure;Noun;A2;సాహసం
Advertise;Verb;A2;ప్రకటనలు
Advertisement;Noun;A2;ప్రకటన
Advertising;Noun;A2;ప్రకటనలు
Advice;Noun Verb;A1, B1;సలహా
affair;Noun;B2;వ్యవహారంలో
affect;Verb;A2;ప్రభావితం
afford;Verb;B1;స్థోమత
afraid;Adjective;A1;భయపడటం
after;prep. conj. Adverb;A1,A2;తరువాత
afternoon;Noun;A1;మధ్యాహ్నం
afterwards;Adverb;B2;తరువాత
again;Adverb;A1;మళ్ళీ
against;prep;A2;వ్యతిరేకంగా
age;Noun Verb;A1, B1;వయస్సు
aged;Adjective;B1;పెద్దవారికి
agency;Noun;B2;ఏజెన్సీ
agenda;Noun;B2;ఎజెండా
agent;Noun;B1;ఏజెంట్
aggressive;Adjective;B2;దూకుడు
ago;Adverb;A1;క్రితం
agree;Verb;A1;అంగీకరిస్తున్నారు
agreement;Noun;B1;ఒప్పందం
ah;exclam.;A2;అబ్బా
ahead;Adverb;B1;ముందుకు
aid;Noun Verb;B2;చికిత్స
aim;Verb Noun;B1;లక్ష్యం
air;Noun;A1;ఎయిర్
aircraft;Noun;B2;విమానాల
airline;Noun;A2;సంస్థ
airport;Noun;A1;విమానాశ్రయం
alarm;Noun Verb;B1, B2;అలారం
album;Noun;B1;ఆల్బమ్
alcohol;Noun;B1;మద్యం
alcoholic;Adjective;B1;మద్య
alive;Adjective;A2;సజీవంగా
all;det. pron, Adverb;A1, A2;అన్ని
all right;Adjective, Adverb exclam;A2;అయితే సరే
