a, an;indefinite, article;A1;a, bir
abandon;Verb;B2;terk etmek
ability;Noun;A2;kabiliyet
able;Adjective;A2;yapabilmek
about;prep. Adverb;A1;hakkında
above;prep. Adverb;A1;yukarıda
abroad;Adverb;A2;yurt dışı
absolute;Adjective;B2;kesin
absolutely;Adverb;B1;kesinlikle
academic;adj, Noun;B1, B2;akademik
accept;Verb;A2;kabul etmek
acceptable;Adjective;B2;kabul edilebilir
access;Noun Verb;B1;Giriş
accident;Noun;A2;kaza
accommodation;Noun;B1;Konaklama
accompany;Verb;B2;eşlik etmek
according to;prep.;A2;göre
account;Noun Verb;B1, B2;hesap
accurate;Adjective;B2;doğru
accuse;Verb;B2;suçlamak
achieve;Verb;A2;başarmak
achievement;Noun;B1;kazanım
acknowledge;Verb;B2;tanındıktan
acquire;Verb;B2;elde etmek
across;prep. Adverb;A1;karşısında
act;Verb Noun;A2,B1;davranmak
action;Noun;A1;aksiyon
active;Adjective;A2;aktif
activity;Noun;A1;aktivite
actor;Noun;A1;aktör
actress;Noun;A1;aktris
actual;Adjective;B2;gerçek
actually;Adverb;A2;aslında
ad;Noun;B1;ilan
adapt;Verb;B2;adapte olmak
add;Verb;A1;Ekle
addition;Noun;B1;ilave
additional;Adjective;B2;ek
address;Noun Verb;A1,B2;adres
administration;Noun;B2;yönetim
admire;Verb;B1;beğenmek
admit;Verb;B1;Kabul et
adopt;Verb;B2;evlat edinmek
adult;Noun adj;A1,A2;yetişkin
Advance;Noun Verb adj;B2;İlerlemek
Advanced;Adjective;B1;ileri
Advantage;Noun;A2;avantaj
Adventure;Noun;A2;Macera
Advertise;Verb;A2;duyurmak
Advertisement;Noun;A2;İlan
Advertising;Noun;A2;reklâm
Advice;Noun Verb;A1, B1;Tavsiye
affair;Noun;B2;mesele
affect;Verb;A2;etkilemek
afford;Verb;B1;parası yetmek
afraid;Adjective;A1;korkmuş
after;prep. conj. Adverb;A1,A2;sonra
afternoon;Noun;A1;öğleden sonra
afterwards;Adverb;B2;sonradan
again;Adverb;A1;tekrar
against;prep;A2;karşısında
age;Noun Verb;A1, B1;yaş
aged;Adjective;B1;yaşlı
agency;Noun;B2;Ajans
agenda;Noun;B2;Gündem
agent;Noun;B1;ajan
aggressive;Adjective;B2;agresif
ago;Adverb;A1;önce
agree;Verb;A1;Katılıyorum
agreement;Noun;B1;anlaşma
ah;exclam.;A2;Ah
ahead;Adverb;B1;önde
aid;Noun Verb;B2;yardım
aim;Verb Noun;B1;amaç
air;Noun;A1;hava
aircraft;Noun;B2;uçak
airline;Noun;A2;havayolu
airport;Noun;A1;havalimanı
alarm;Noun Verb;B1, B2;alarm
album;Noun;B1;albüm
alcohol;Noun;B1;alkol
alcoholic;Adjective;B1;alkollü
alive;Adjective;A2;canlı
all;det. pron, Adverb;A1, A2;herşey
all right;Adjective, Adverb exclam;A2;tamam
allow;Verb;A2;izin vermek
almost;Adverb;A2;neredeyse
alone;Adjective, Adverb;A2;tek başına
along;prep. Adverb;A2;boyunca
already;Adverb;A2;zaten
also;Adverb;A1;Ayrıca
alter;Verb;B2;alter
alternative;Noun Adjective;A2, B1;alternatif
although;conj;A2;olmasına rağmen
always;Adverb;A1;her zaman
amazed;Adjective;B1;şaşırmış
amazing;Adjective;A1;inanılmaz
ambition;Noun;B1;hırs
ambitious;Adjective;B1;hırslı
among;prep.;A2;arasında
amount;Noun Verb;A2, B2;Miktar
analyse;Verb;B1;çözümlemek
analysis;Noun;B1;analiz
ancient;Adjective;A2;Antik
and;conj;A1;ve
anger;Noun;B2;öfke
angle;Noun;B2;açı
angry;Adjective;A1;kızgın
animal;Noun;A1;hayvan
ankle;Noun;A2;ayak bileği
anniversary;Noun;B2;yıldönümü
announce;Verb;B1;duyurmak
announcement;Noun;B1;duyuru
annoy;Verb;B1;kızdırmak
annoyed;Adjective;B1;kızgın
annoying;Adjective;B1;Can sıkıcı
annual;Adjective;B2;yıllık
another;det. proNoun;A1;bir diğeri
answer;Noun Verb;A1;Cevap
anxious;Adjective;B2;endişeli
any;det. proNoun, Adverb;A1, A2;hiç
anybody;pron;A2;kimse
any more;Adverb;A2;artık
anyone;pron;A1;kimse
anything;pron;A1;herhangi bir şey
anyway;Adverb;A2;neyse
anywhere;AdVerb proNoun;A2;herhangi bir yer
apart;Adverb;B1;ayrı
apartment;Noun;A1;apartman
apologize;Verb;B1;özür dilemek
app;Noun;A2;Uygulamanın
apparent;Adjective;B2;bariz
apparently;Adverb;B2;görünüşe göre
appeal;Noun Verb;B2;temyiz
appear;Verb;A2;görünmek
appearance;Noun;A2;görünüm
apple;Noun;A1;elma
application;Noun;B1;uygulama
apply;Verb;A2;uygulamak
appointment;Noun;B1;randevu
appreciate;Verb;B1;takdir etmek
approach;Noun Verb;B2;yaklaşmak
appropriate;Adjective;B2;uygun
approval;Noun;B2;onay
approve;Verb;B2;onaylamak
approximately;Adverb;B1;yaklaşık olarak
April;Noun;A1;Nisan
architect;Noun;A2;mimar
architecture;Noun;A2;mimari
area;Noun;A1;alan
argue;Verb;A2;tartışmak
argument;Noun;A2;tartışma
arise;Verb;B2;ortaya çıkmak
arm;Noun;A1;kol
armed;Adjective;B2;silahlı
arms;Noun;B2;silâh
army;Noun;A2;Ordu
around;prep. Adverb;A1;etrafında
arrange;Verb;A2;düzenlemek
arrangement;Noun;A2;aranjman
arrest;Verb Noun;B1;tutuklamak
arrival;Noun;B1;varış
arrive;Verb;A1;varmak
art;Noun;A1;Sanat
article;Noun;A1;makale
artificial;Adjective;B2;yapay
artist;Noun;A1;sanatçı
artistic;Adjective;B2;artistik
as;prep., Adverb conj.;A1, A2;gibi
ashamed;Adjective;B2;utanmış
asleep;Adjective;A2;uykuda
ask;Verb;A1;Sor
aspect;Noun;B2;Görünüş
assess;Verb;B2;değerlendirmek
assessment;Noun;B2;değerlendirme
assignment;Noun;B1;Görev
assist;Verb;B1;yardım
assistant;Noun Adjective;A2;asistan
associate;Verb;B2;ortak
associated;Adjective;B2;birleşmiş
association;Noun;B2;bağlantı
assume;Verb;B2;üstlenmek
at;prep.;A1;en
athlete;Noun;A2;atlet
atmosphere;Noun;B1;atmosfer
attach;Verb;B1;iliştirmek
attack;Noun Verb;A2;saldırı
attempt;Noun Verb;B2;girişim
attend;Verb;A2;düzenli gidenler
attention;Noun exclam.;A2;Dikkat
attitude;Noun;B1;tutum
attract;Verb;B1;çekmek
attraction;Noun;B1;cazibe
attractive;Adjective;A2;çekici
audience;Noun;A2;seyirci
August;Noun;A1;Ağustos
aunt;Noun;A1;teyze
author;Noun;A2;yazar
authority;Noun;B1;yetki
autumn;Noun;A1;sonbahar
available;Adjective;A2;mevcut
average;Adjective, Noun Verb;A2, B1;ortalama
avoid;Verb;A2;önlemek
award;Noun Verb;A2, B1;ödül
aware;Adjective;B1;farkında
away;Adverb;A1;uzakta
awful;Adjective;A2;korkunç
baby;Noun;A1;bebek
back;Noun AdVerb Adjective, Verb;A1, A2, B2;geri
background;Noun;A2;arka fon
backwards;Adverb;B1;geriye doğru
bacteria;Noun;B2;bakteriler
bad;Adjective;A1;kötü
badly;Adverb;A2;kötü
bag;Noun;A1;sırt çantası
bake;Verb;B1;pişirmek
balance;Noun Verb;B1;denge
ball;Noun;A1;top
ban;Verb Noun;B1;yasak
banana;Noun;A1;muz
band;Noun;A1;grup
bank (money);Noun;A1;banka (para)
bank (river);Noun;B1;banka (nehir)
bar;Noun Verb;A2, B2;bar
barrier;Noun;B2;bariyer
base;Noun Verb;B1;baz
baseball;Noun;A2;beyzbol
based;Adjective;A2;merkezli
basketball;Noun;A2;Basketbol
basic;Adjective;B1;temel
basically;Adverb;B2;temel olarak
basis;Noun;B1;temel
bath;Noun;A1;banyo
bathroom;Noun;A1;banyo
battery;Noun;B1;pil
battle;Noun Verb;B1, B2;savaş
be;Verb auxiliary Verb;A1;olmak
beach;Noun;A1;plaj
bean;Noun;A2;fasulye
bear (deal with);Verb;B2;ayı (olayı)
bear (animal);Noun;A2;ayı hayvan)
beat;Verb Noun;A2, B2;dövmek
beautiful;Adjective;A1;güzel
beauty;Noun;B1;güzellik
because;conj.;A1;Çünkü
become;Verb;A1;olmak
bed;Noun;A1;yatak
bedroom;Noun;A1;yatak odası
bee;Noun;B1;bal arısı
beef;Noun;A2;sığır eti
beer;Noun;A1;bira
before;prep., conj. Adverb;A1, A2;önce
beg;Verb;B2;dilenmek
begin;Verb;A1;başla
beginning;Noun;A1;başlangıç
behave;Verb;A2;Davranmak
behaviour;Noun;A2;davranış
behind;prep. Adverb;A1;arkasında
being;Noun;B2;olmak
belief;Noun;B1;inanç
believe;Verb;A1;inanmak
bell;Noun;B1;çan
belong;Verb;A2;ait olmak
below;Adverb prep.;A1;altında
belt;Noun;A2;kemer
bend;Verb Noun;B1;Bükmek
benefit;Verb NouNoun;A2, B1;yarar
bent;Adjective;B2;kıvrılmış
best;Adjective, AdVerb Noun;A1, A2;en iyi
bet;Verb Noun;B2;bahis
better;Adjective , Adverb , Noun;A1, A2, B1;daha iyi
between;prep., Adverb;A1, A2;arasında
beyond;prep. Adverb;B2;ötesinde
bicycle;Noun;A1;bisiklet
big;Adjective;A1;büyük
bike;Noun;A1;bisiklet
bill;Noun Verb;A1, B2;fatura
billion number; ;A2;milyar numara
bin;Noun;A2;çöp Kutusu
biology;Noun;A2;Biyoloji
bird;Noun;A1;kuş
birth;Noun;A2;doğum
birthday;Noun;A1;doğum günü
biscuit;Noun;A2;bisküvi
bit;Noun;A2;bit
bite;Verb Noun;B1;ısırmak
bitter;Adjective;B2;acı
black;Adjective, Noun;A1;siyah
blame;Verb Noun;B2;suçlama
blank;Adjective, Noun;A2;boş
blind;Adjective;B2;kör
block;Noun Verb;B1;blok
blog;Noun;A1;Blog
blonde;Adjective;A1;sarışın
blood;Noun;A2;kan
blow;Verb;A2;darbe
blue;Adjective, Noun;A1;mavi
board;Noun Verb;A2, B1;yazı tahtası
boat;Noun;A1;tekne
body;Noun;A1;vücut
boil;Verb;A2;kaynama
bomb;Noun Verb;B1;bomba
bond;Noun;B2;bağ
bone;Noun;A2;kemik
book;Noun Verb;A1, A2;kitap
boot;Noun;A1;çizme
border;Noun Verb;B1, B2;sınır
bored;Adjective;A1;canı sıkkın
boring;Adjective;A1;sıkıcı
born;Verb;A1;doğan
borrow;Verb;A2;ödünç almak
boss;Noun;A2;patron
both;det./proNoun;A1;her ikisi de
bother;Verb;B1;zahmet
bottle;Noun;A1;şişe
bottom;NouNoun Adjective;A2;alt
bowl;Noun;A2;kâse
box;Noun;A1;Kutu
boy;Noun;A1;oğlan
boyfriend;Noun;A1;erkek arkadaş
brain;Noun;A2;beyin
branch;Noun;B1;şube
brand;Noun Verb;B1;marka
brave;Adjective;B1;cesur
bread;Noun;A1;ekmek
break;Verb Noun;A1;mola
breakfast;Noun;A1;kahvaltı
breast;Noun;B2;meme
breath;Noun;B1;nefes
breathe;Verb;B1;nefes almak
breathing;Noun;B1;nefes
bride;Noun;B1;gelin
bridge;Noun;A2;köprü
brief;Adjective;B2;kısa
bright;Adjective;A2;parlak
brilliant;Adjective;A2;parlak
bring;Verb;A1;getirmek
broad;Adjective;B2;kalın
broadcast;Verb Noun;B2;yayın yapmak
broken;Adjective;A2;kırık
brother;Noun;A1;erkek kardeş
brown;Adjective, Noun;A1;Kahverengi
brush;Verb Noun;A2;fırça
bubble;Noun;B1;kabarcık
budget;Noun;B2;bütçe
build;Verb;A1;inşa etmek
building;Noun;A1;bina
bullet;Noun;B2;mermi
bunch;Noun;B2;Demet
burn;Verb Noun;A2, B2;yanmak
bury;Verb;B1;gömmek
bus;Noun;A1;otobüs
bush;Noun;B2;çalı
business;Noun;A1;iş
businessman;Noun;A2;işadamı
busy;Adjective;A1;meşgul
but;conj. prep;A1, B2;fakat
butter;Noun;A1;Tereyağı
button;Noun;A2;buton
buy;Verb;A1;satın
by;prep. Adverb;A1, B1;tarafından
bye;exclam;A1;Hoşçakal
cable;Noun;B2;kablo
cafe;Noun;A1;kafe
cake;Noun;A1;kek
calculate;Verb;B2;hesaplamak
call;Verb Noun;A1;aramak
calm;Adjective Verb Noun;B1;sakin
camera;Noun;A1;kamera
camp;Noun Verb;A2;kamp
campaign;Noun Verb;B1;kampanya
camping;Noun;A2;kamp yapmak
campus;Noun;B1;yerleşke
can1;modal Verb;A1;can1
can2;Noun;A2;CAN2
cancel;Verb;B2;iptal etmek
cancer;Noun;B2;kanser
candidate;Noun;B1;aday
cannot;Verb;A1;olumsuz
cap;Noun;B1;kapak
capable;Adjective;B2;yetenekli
capacity;Noun;B2;kapasite
capital;Noun Adjective;A1;Başkent
captain;Noun;B1;Kaptan
capture;Verb Noun;B2;ele geçirmek
car;Noun;A1;araba
card;Noun;A1;kart
care;Noun Verb;A2;bakım
career;Noun;A1;kariyer
careful;Adjective;A2;dikkatli
carefully;Adverb;A2;dikkatlice
careless;Adjective;B1;dikkatsiz
carpet;Noun;A2;halı
carrot;Noun;A1;havuç
carry;Verb;A1;Taşımak
cartoon;Noun;A2;karikatür
case;Noun;A2;durum
cash;Noun;A2;nakit
cast;Noun Verb;B2;oyuncular
castle;Noun;A2;kale
cat;Noun;A1;kedi
catch;Verb Noun;A2, B2;tutmak
category;Noun;B1;kategori
cause;Noun Verb;A2;sebep olmak
CD;Noun;A1;CD
ceiling;Noun;B1;tavan
celebrate;Verb;A2;kutlamak
celebration;Noun;B1;kutlama
celebrity;Noun;A2;şöhret
cell;Noun;B2;hücre
cent;Noun;A1;sent
central;Adjective;B1;merkezi
centre;Noun Verb;A1, B1;merkez
century;Noun;A1;yüzyıl
ceremony;Noun;B1;tören
certain;Adjective;A2;belirli
certainly;Adverb;A2;kesinlikle
chain;Noun Verb;B1, B2;Zincir
chair;Noun Verb;A1, B2;sandalye
chairman;Noun;B2;başkan
challenge;Noun Verb;B1, B2;meydan okuma
champion;Noun;B1;şampiyon
chance;Noun;A2;şans
change;Verb Noun;A1;değişiklik
channel;Noun;B1;kanal
chapter;Noun;B1;bölüm
character;Noun;A2;karakter
characteristic;Noun Adjective;B2;karakteristik
charge;Noun Verb;B1;şarj etmek
charity;Noun;A2;sadaka
chart;Noun Verb;A1, B2;grafik
chat;Verb Noun;A2;sohbet
cheap;Adjective , Adverb;A1, B1;ucuz
cheat;Verb Noun;B1;hile
check;Verb Noun;A1, A2;Kontrol
chef;Noun;A2;şef
cheerful;Adjective;B1;neşeli
cheese;Noun;A1;peynir
chemical;Adjective, Noun;B1;kimyasal
chemistry;Noun;A2;kimya
chest;Noun;B1;göğüs
chicken;Noun;A1;tavuk
chief;Adjective, Noun;B2;şef
child;Noun;A1;çocuk
childhood;Noun;B1;çocukluk
chip;Noun;A2;yonga
chocolate;Noun;A1;çikolata
choice;Noun;A2;seçim
choose;Verb;A1;Seç
church;Noun;A2;kilise
cigarette;Noun;A2;sigara
cinema;Noun;A1;sinema
circle;Noun Verb;A2;daire
circumstance;Noun;B2;durum
cite;Verb;B2;anmak
citizen;Noun;B2;vatandaş
city;Noun;A1;Kent
civil;Adjective;B2;sivil
claim;Verb Noun;B1;İddia
class;Noun;A1;sınıf
classic;Adjective, Noun;B2;klasik
classical;Adjective;A2;klasik
classroom;Noun;A1;sınıf
clause;Noun;B1;fıkra
clean;Adjective, Verb;A1;temiz
clear;Adjective, Verb;A2, B1;açık
clearly;Adverb;A2;Açıkça
clever;Adjective;A2;zeki
click;Verb Noun;B1;Tıklayın
client;Noun;B1;müşteri
climate;Noun;A2;iklim
climb;Verb Noun;A1, B1;tırmanış
clock;Noun;A1;saat
close1;Verb Noun;A1, B2;close1
close2;Adjective , Adverb;A2, B1;close2
closed;Adjective;A2;kapalı
closely;Adverb;B2;yakından
cloth;Noun;B1;bez
clothes;Noun;A1;çamaşırlar
clothing;Noun;A2;Giyim
cloud;Noun;A2;bulut
club;Noun;A1;kulüp
clue;Noun;B1;ipucu
coach;Noun Verb;A2, B1;Koç
coal;Noun;B1;kömür
coast;Noun;A2;sahil
coat;Noun;A1;ceket
code;Noun;A2;kod
coffee;Noun;A1;Kahve
coin;Noun;B1;madeni para
cold;Adjective Noun;A1;soğuk
collapse;Verb Noun;B2;çöküş
colleague;Noun;A2;çalışma arkadaşı
collect;Verb;A2;toplamak
collection;Noun;B1;Toplamak
college;Noun;A1;kolej
colour;Noun;A1;renk
coloured;Adjective;B1;renkli
column;Noun;A2;kolon
combination;Noun;B2;kombinasyon
combine;Verb;B1;birleştirmek
come;Verb;A1;gel
comedy;Noun;A2;komedi
comfort;Noun Verb;B2;konfor
comfortable;Adjective;A2;rahat
command;Noun Verb;B2;komuta
comment;Noun Verb;A2, B1;yorum Yap
commercial;Adjective Noun;B1;ticari
commission;Noun Verb;B2;komisyon
commit;Verb;B1;işlemek
commitment;Noun;B2;taahhüt
committee;Noun;B2;Kurul
common;Adjective Noun;A1;Yaygın
commonly;Adverb;B2;çoğunlukla
communicate;Verb;A2;iletişim kurmak
communication;Noun;B1;iletişim
community;Noun;A2;topluluk
company;Noun;A1;şirket
compare;Verb;A1;karşılaştırmak
comparison;Noun;B1;karşılaştırma
compete;Verb;A2;rekabet
competition;Noun;A2;yarışma
competitor;Noun;B1;yarışmacı
competitive;Adjective;B1;rekabetçi
complain;Verb;A2;şikayet
complaint;Noun;B1;şikâyet
complete;Adjective Verb;A1;tamamlayınız
completely;Adverb;A2;tamamen
complex;Adjective, Noun;B1, B2;karmaşık
complicated;Adjective;B2;karmaşık
component;Noun;B2;bileşen
computer;Noun;A1;bilgisayar
concentrate;Verb;B1;yoğunlaşmak
concentration;Noun;B2;konsantrasyon
concept;Noun;B2;kavram
concern;Noun Verb;B2;ilgilendirmek
concerned;Adjective;B2;endişeli
concert;Noun;A1;konser
conclude;Verb;B1;sonuçlandırmak
conclusion;Noun;B1;Sonuç
condition;Noun;A2;durum
conduct;Verb Noun;B2;yönetmek
conference;Noun;A2;konferans
confidence;Noun;B2;güven
confident;Adjective;B1;kendine güvenen
confirm;Verb;B1;onaylamak
conflict;Noun Verb;B2;fikir ayrılığı
confuse;Verb;B1;şaşırtmak
confused;Adjective;B1;Şaşkın
confusing;Adjective;B2;kafa karıştırıcı
connect;Verb;A2;connect
connected;Adjective;A2;bağlı
connection;Noun;B1;bağ
conscious;Adjective;B2;bilinçli
consequence;Noun;B1;sonuç
conservative;Adjective, Noun;B2;muhafazakâr
consider;Verb;A2;düşünmek
consideration;Noun;B2;düşünce
consist;Verb;B1;oluşmaktadır
consistent;Adjective;B2;tutarlı
constant;Adjective;B2;sabit
constantly;Adverb;B2;sürekli
construct;Verb;B2;yapı
construction;Noun;B2;inşaat
consume;Verb;B1;tüketmek
consumer;Noun;B1;tüketici
contact;Noun Verb;B1;İletişim
contain;Verb;A2;içermek
container;Noun;B1;konteyner
contemporary;Adjective;B2;çağdaş
content;Noun;B1;içerik
contest;Noun Verb;B2;yarışma
context;Noun;A2;bağlam
continent;Noun;A2;kıta
continue;Verb;A2;devam et
continuous;Adjective;B1;sürekli
contract;Noun Verb;B2;sözleşme
contrast;Noun Verb;B1;kontrast
contribute;Verb;B2;katkıda bulunmak
contribution;Noun;B2;katkı
control;Noun Verb;A2;kontrol
convenient;Adjective;B1;uygun
conversation;Noun;A1;konuşma
convert;Verb;B2;dönüştürmek
convince;Verb;B1;ikna etmek
convinced;Adjective;B2;ikna
cook;Verb Noun;A1, A2;pişirmek
cooker;Noun;A2;Ocak
cooking;Noun;A1;yemek pişirme
cool;Adjective, Verb;A1, B1;güzel
copy;Noun Verb;A2;kopya
core;Noun Adjective;B2;çekirdek
corner;Noun;A2;köşe
corporate;Adjective;B2;Kurumsal
correct;Adjective Verb;A1;doğru
correctly;Adverb;A2;doğru şekilde
cost;Noun Verb;A1;maliyet
costume;Noun;B1;kostüm
cottage;Noun;B1;kulübe
cotton;Noun;B1;pamuk
could;Verb;A1;abilir
council;Noun;B2;konsey
count;Verb Noun;A2, B1;Miktar
country;Noun;A1;ülke
countryside;Noun;B1;kırsal bölge
county;Noun;B2;ilçe
couple;Noun;A2;çift
courage;Noun;B2;cesaret
course;Noun;A1;kurs
court;Noun;B1;mahkeme
cousin;Noun;A1;hala kızı
cover;Verb Noun;A2, B1;örtmek
covered;Adjective;B1;kapalı
cow;Noun;A1;inek
crash;Noun Verb;B2;kaza
crazy;Adjective;A2;çılgın
cream;Noun Adjective;A1, B1;krem
create;Verb;A1;oluşturmak
creation;Noun;B2;oluşturma
creative;Adjective;A2;yaratıcı
creature;Noun;B2;yaratık
credit;Noun Verb;A2, B2;kredi
crew;Noun;B2;mürettebat
crime;Noun;A2;suç
criminal;Noun Adjective;A2, B1;adli
crisis;Noun;B2;kriz
criterion;Noun;B2;kriter
critic;Noun;B2;eleştirmen
critical;Adjective;B2;kritik
criticism;Noun;B2;eleştiri
criticize;Verb;B2;eleştirmek
crop;Noun;B2;ekin
cross;Verb Noun;A2;çapraz
crowd;Noun;A2;kalabalık
crowded;Adjective;A2;kalabalık
crucial;Adjective;B2;çok önemli
cruel;Adjective;B1;zalim
cry;Verb Noun;A2, B2;Ağla
cultural;Adjective;B1;kültürel
culture;Noun;A1;kültür
cup;Noun;A1;Fincan
cupboard;Noun;A2;dolap
cure;Verb Noun;B2;Çare
curly;Adjective;A2;Kıvırcık
currency;Noun;B1;para birimi
current;Adjective, Noun;B1, B2;şimdiki
currently;Adverb;B1;şu anda
curtain;Noun;B1;perde
curve;Noun Verb;B2;eğri
curved;Adjective;B2;kavisli
custom;Noun;B1;görenek
customer;Noun;A1;müşteri
cut;Verb , Noun;A1, B1;kesmek
cycle;Noun Verb;A2, B1;döngü
dad;Noun;A1;baba
daily;Adjective, Adverb;A2, B1;günlük
damage;Noun Verb;B1;hasar
dance;Noun Verb;A1;dans
dancer;Noun;A1;dansçı
dancing;Noun;A1;dans
danger;Noun;A2;Tehlike
dangerous;Adjective;A1;tehlikeli
dark;Adjective, Noun;A1, A2;karanlık
data;Noun;A2;veri
date;Noun Verb;A1, B2;tarih
daughter;Noun;A1;kız evlat
day;Noun;A1;gün
dead;Adjective;A2;ölü
deal;Verb Noun;A2, B1;anlaştık mı
dear;Adjective, exclam;A1, A2;Sayın
death;Noun;A2;ölüm
debate;Noun Verb;B2;tartışma
debt;Noun;B2;borç
decade;Noun;B1;onyıl
December;Noun;A1;Aralık
decent;Adjective;B2;terbiyeli
decide;Verb;A1;karar ver
decision;Noun;A2;karar
declare;Verb;B2;bildirmek
decline;Verb Noun;B2;düşüş
decorate;Verb;B1;süslemek
decoration;Noun;B2;dekorasyon
decrease;Verb Noun;B2;azaltmak
deep;Adjective, Adverb;A2, B1;derin
deeply;Adverb;B2;derinden
defeat;Verb Noun;B2;yenilgi
defence;Noun;B2;savunma
defend;Verb;B2;savunmak
define;Verb;B1;tanımlamak
definite;Adjective;B1;kesin
definitely;Adverb;A2;kesinlikle
definition;Noun;B1;tanım
degree;Noun;A2;derece
delay;Verb Noun;B2;gecikme
deliberate;Adjective;B2;kasten, kasıtlı, planlı
deliberately;Adverb;B2;kasten
delicious;Adjective;A1;lezzetli
delight;Verb Noun;B2;lokum
delighted;Adjective;B2;memnun olmak
deliver;Verb;B1;teslim etmek
delivery;Noun;B2;teslim
demand;Noun Verb;B2;talep
demonstrate;Verb;B2;göstermek
dentist;Noun;A2;diş doktoru
deny;Verb;B2;reddetmek
department;Noun;A2;Bölüm
departure;Noun;B1;kalkış
depend;Verb;A2;bağımlı
depressed;Adjective;B2;bunalımlı
depressing;Adjective;B2;iç karartıcı
depth;Noun;B2;derinlik
describe;Verb;A1;tanımlamak
description;Noun;A1;açıklama
desert;Noun Verb;A2, B2;çöl
deserve;Verb;B2;hak etmek
design;Noun Verb;A1;dizayn
designer;Noun;A2;tasarımcı
desire;Noun Verb;B2;arzu etmek
desk;Noun;A1;sıra
desperate;Adjective;B2;umutsuz
despite;prep;B1;rağmen
destination;Noun;B1;hedef
destroy;Verb;A2;yıkmak
detail;Noun Verb;A1, B2;detay
detailed;Adjective;B2;detaylı
detect;Verb;B2;belirlemek
detective;Noun;A2;dedektif
determine;Verb;B1;belirlemek
determined;Adjective;B1;belirlenen
develop;Verb;A2;geliştirmek
development;Noun;B1;gelişme
device;Noun;A2;cihaz
diagram;Noun;B1;diyagram
dialogue;Noun;A1;diyalog
diamond;Noun;B1;elmas
diary;Noun;A2;günlük
dictionary;Noun;A1;sözlük
die;Verb;A1;ölmek
diet;Noun;A1;diyet
difference;Noun;A1;fark
different;Adjective;A1;farklı
differently;Adverb;A2;farklı olarak
difficult;Adjective;A1;zor
difficulty;Noun;B1;zorluk
dig;Verb;B2;kazmak
digital;Adjective;A2;dijital
dinner;Noun;A1;akşam yemegi
direct;Adjective, Verb Adverb;A2, B1;direkt
direction;Noun;A2;yön
directly;Adverb;B1;direkt olarak
director;Noun;A2;yönetmen
dirt;Noun;B1;kir
dirty;Adjective;A1;kirli
Dis Adverbantage;Noun;B1;Dis Adverbantage
disagree;Verb;A2;katılmıyorum
disappear;Verb;A2;kaybolmak
disappointed;Adjective;B1;hüsrana uğramış
disappointing;Adjective;B1;hayal kırıklığı
disaster;Noun;A2;afet
disc;Noun;B2;disk
discipline;Noun;B2;disiplin
discount;Noun Verb;B1, B2;indirim
discover;Verb;A2;discover
discovery;Noun;A2;keşif
discuss;Verb;A1;tartışmak
discussion;Noun;A2;tartışma
disease;Noun;A2;hastalık
dish;Noun;A1;tabak
dishonest;Adjective;B2;sahtekâr
dislike;Verb Noun;B1;Beğenmemek
dismiss;Verb;B2;Reddet
display;Verb Noun;B2;Görüntüle
distance;Noun;A2;mesafe
distribute;Verb;B2;dağıtmak
distribution;Noun;B2;dağıtım
district;Noun;B2;ilçe
divide;Verb Noun;B1, B2;bölmek
division;Noun;B2;bölünme
divorced;Adjective;A2;boşanmış
do;Verb auxiliary verb;A1;yapmak
doctor;Noun;A1;doktor
document;Noun Verb;A2, B2;belge
documentary;Noun;B1;belgesel
dog;Noun;A1;köpek
dollar;Noun;A1;dolar
domestic;Adjective;B2;yerli
dominate;Verb;B2;baskın
donate;Verb;B1;bağışlamak
door;Noun;A1;kapı
double;Adjective det. proNoun Verb , Adverb;A2, B1;çift
doubt;Noun Verb;B1;şüphe
down;Adverb Prep;A1;aşağı
download;Verb Noun;A2;indir
downstairs;Adverb , Adjective;A1, A2;alt kat
downwards;Adverb;B2;aşağıya doğru
dozen;Noun det;B2;düzine
draft;Noun Verb;B2;taslak
drag;Verb;B2;sürüklemek
drama;Noun;A2;dram
dramatic;Adjective;B2;dramatik
draw;Verb;A1;çizmek
drawing;Noun;A2;çizim
dream;Noun Verb;A2;rüya
dress;Noun Verb;A1;elbise
dressed;Adjective;B1;giyinmiş
drink;Noun Verb;A1;İçmek
drive;Verb Noun;A1, A2;sürücü
driver;Noun;A1;sürücü
driving;Noun;A2;sürme
drop;Verb Noun;A2, B1;düşürmek
drug;Noun;A2;ilaç
drum;Noun;B1;tambur
drunk;Adjective;B1;sarhoş
