a, an;indefinite, article;A1;а,
abandon;Verb;B2;відмовитися від
ability;Noun;A2;здатність
able;Adjective;A2;в стані
about;prep. Adverb;A1;про
above;prep. Adverb;A1;вище
abroad;Adverb;A2;за кордоном
absolute;Adjective;B2;абсолютний
absolutely;Adverb;B1;абсолютно
academic;adj, Noun;B1, B2;академічний
accept;Verb;A2;приймати
acceptable;Adjective;B2;прийнятний
access;Noun Verb;B1;доступ
accident;Noun;A2;аварія
accommodation;Noun;B1;житло
accompany;Verb;B2;супроводжувати
according to;prep.;A2;згідно з
account;Noun Verb;B1, B2;рахунок
accurate;Adjective;B2;точний
accuse;Verb;B2;звинувачувати
achieve;Verb;A2;досягати
achievement;Noun;B1;досягнення
acknowledge;Verb;B2;квитирование
acquire;Verb;B2;здобувати
across;prep. Adverb;A1;через
act;Verb Noun;A2,B1;діяти
action;Noun;A1;дію
active;Adjective;A2;активний
activity;Noun;A1;діяльність
actor;Noun;A1;актор
actress;Noun;A1;актриса
actual;Adjective;B2;фактичний
actually;Adverb;A2;насправді
ad;Noun;B1;оголошення
adapt;Verb;B2;адаптуватися
add;Verb;A1;додавати
addition;Noun;B1;додаток
additional;Adjective;B2;додатковий
address;Noun Verb;A1,B2;адреса
administration;Noun;B2;адміністрація
admire;Verb;B1;захоплююся
admit;Verb;B1;впустити
adopt;Verb;B2;прийняти
adult;Noun adj;A1,A2;для дорослих
Advance;Noun Verb adj;B2;Advance
Advanced;Adjective;B1;просунутий
Advantage;Noun;A2;перевага
Adventure;Noun;A2;пригода
Advertise;Verb;A2;афішувати
Advertisement;Noun;A2;реклама
Advertising;Noun;A2;реклама
Advice;Noun Verb;A1, B1;рада
affair;Noun;B2;справа
affect;Verb;A2;афект
afford;Verb;B1;надавати
afraid;Adjective;A1;боїться
after;prep. conj. Adverb;A1,A2;після
afternoon;Noun;A1;після полудня
afterwards;Adverb;B2;згодом
again;Adverb;A1;знову
against;prep;A2;проти
age;Noun Verb;A1, B1;вік
aged;Adjective;B1;старезний
agency;Noun;B2;агентство
agenda;Noun;B2;порядок денний
agent;Noun;B1;агент
aggressive;Adjective;B2;агресивний
