a, an;indefinite, article;A1;a, bir
abandon;Verb;B2;tark
ability;Noun;A2;qobiliyat
able;Adjective;A2;qodir
about;prep. Adverb;A1;atrofida
above;prep. Adverb;A1;yuqorida
abroad;Adverb;A2;chet elda
absolute;Adjective;B2;mutlaq
absolutely;Adverb;B1;mutlaqo
academic;adj, Noun;B1, B2;akademik
accept;Verb;A2;qabul
acceptable;Adjective;B2;ma'qul
access;Noun Verb;B1;foydalanish
accident;Noun;A2;tasodif
accommodation;Noun;B1;Turar joy
accompany;Verb;B2;hamrohlik
according to;prep.;A2;ga ko'ra
account;Noun Verb;B1, B2;hisob
accurate;Adjective;B2;aniq
accuse;Verb;B2;ayblash
achieve;Verb;A2;erishish
achievement;Noun;B1;muvaffaqiyat
acknowledge;Verb;B2;tan
acquire;Verb;B2;olish
across;prep. Adverb;A1;orqali
act;Verb Noun;A2,B1;harakat
action;Noun;A1;harakat
active;Adjective;A2;faol
activity;Noun;A1;faoliyat
actor;Noun;A1;aktyor
actress;Noun;A1;aktrisa
actual;Adjective;B2;haqiqiy
actually;Adverb;A2;aslida
ad;Noun;B1;E'lon
adapt;Verb;B2;moslashtirish
add;Verb;A1;qo'shish
addition;Noun;B1;Kiritilgan
additional;Adjective;B2;qo'shimcha
address;Noun Verb;A1,B2;manzil
administration;Noun;B2;ma'muriyat
admire;Verb;B1;hayranım
admit;Verb;B1;tan
adopt;Verb;B2;qabul
adult;Noun adj;A1,A2;kattalar
Advance;Noun Verb adj;B2;Advance
Advanced;Adjective;B1;ilg'or
Advantage;Noun;A2;ustunlik
Adventure;Noun;A2;sarguzasht
Advertise;Verb;A2;e'lon qilmoq
Advertisement;Noun;A2;reklama
Advertising;Noun;A2;reklama
Advice;Noun Verb;A1, B1;maslahat
affair;Noun;B2;ish
affect;Verb;A2;ta'sir
afford;Verb;B1;bermoq
afraid;Adjective;A1;qo'rqqan
after;prep. conj. Adverb;A1,A2;so'ng
afternoon;Noun;A1;kunduzi
afterwards;Adverb;B2;keyin
again;Adverb;A1;yana
against;prep;A2;qarshi
age;Noun Verb;A1, B1;yosh
aged;Adjective;B1;keksa
agency;Noun;B2;agentlik
agenda;Noun;B2;kun tartibi
agent;Noun;B1;agent
aggressive;Adjective;B2;tajovuzkor
ago;Adverb;A1;ilgari
agree;Verb;A1;rozi
agreement;Noun;B1;bitim
ah;exclam.;A2;Eh
ahead;Adverb;B1;oldinga
aid;Noun Verb;B2;yordam
aim;Verb Noun;B1;maqsad
air;Noun;A1;havo
aircraft;Noun;B2;samolyot
airline;Noun;A2;havo yo'li
airport;Noun;A1;aeroport
alarm;Noun Verb;B1, B2;signal
album;Noun;B1;albom
alcohol;Noun;B1;spirt
alcoholic;Adjective;B1;alkogolli
alive;Adjective;A2;jonli
all;det. pron, Adverb;A1, A2;hamma
all right;Adjective, Adverb exclam;A2;hammasi joyida
allow;Verb;A2;imkon
almost;Adverb;A2;deyarli
alone;Adjective, Adverb;A2;yakka
along;prep. Adverb;A2;bo'ylab
already;Adverb;A2;allaqachon
also;Adverb;A1;shuningdek
alter;Verb;B2;ALTER
alternative;Noun Adjective;A2, B1;muqobil
although;conj;A2;garchi
always;Adverb;A1;har doim
amazed;Adjective;B1;hayron
amazing;Adjective;A1;ajoyib
ambition;Noun;B1;shuhratparastlik
ambitious;Adjective;B1;shuhratparast
among;prep.;A2;orasida
amount;Noun Verb;A2, B2;miqdor
analyse;Verb;B1;tahlil
analysis;Noun;B1;tahlil
ancient;Adjective;A2;qadimgi
and;conj;A1;va
anger;Noun;B2;g'azab
angle;Noun;B2;burchak
angry;Adjective;A1;badjahl
animal;Noun;A1;hayvon
ankle;Noun;A2;to'piq suyagi
anniversary;Noun;B2;yillik
announce;Verb;B1;e'lon
announcement;Noun;B1;e'lon
annoy;Verb;B1;noqulay
annoyed;Adjective;B1;g'azablangan
annoying;Adjective;B1;zerikarli
annual;Adjective;B2;yillik
another;det. proNoun;A1;boshqa
answer;Noun Verb;A1;javob
anxious;Adjective;B2;notinch
any;det. proNoun, Adverb;A1, A2;har qanday
anybody;pron;A2;biror kishi
any more;Adverb;A2;ko'proq
anyone;pron;A1;kim
