a, an;indefinite, article;A1;i I
abandon;Verb;B2;dela
ability;Noun;A2;ikhono
able;Adjective;A2;bakwazi
about;prep. Adverb;A1;ngayo
above;prep. Adverb;A1;ngaphezu
abroad;Adverb;A2;kwamanye amazwe
absolute;Adjective;B2;ndawo ingundoqo
absolutely;Adverb;B1;ngokupheleleyo
academic;adj, Noun;B1, B2;ezifundweni
accept;Verb;A2;ukwamukela
acceptable;Adjective;B2;eyamkelekileyo
access;Noun Verb;B1;ukufikelela
accident;Noun;A2;ingozi
accommodation;Noun;B1;yokuhlala
accompany;Verb;B2;ukuhamba
according to;prep.;A2;ngoku ka
account;Noun Verb;B1, B2;akhawunti
accurate;Adjective;B2;oluchanileyo
accuse;Verb;B2;icala
achieve;Verb;A2;ukufezekisa
achievement;Noun;B1;impumelelo
acknowledge;Verb;B2;bayavuma
acquire;Verb;B2;uzuza
across;prep. Adverb;A1;lonke
act;Verb Noun;A2,B1;enze
action;Noun;A1;isenzo
active;Adjective;A2;esebenzayo
activity;Noun;A1;umsebenzi
actor;Noun;A1;nomdlali
actress;Noun;A1;umdlali obhinqileyo
actual;Adjective;B2;uqobo
actually;Adverb;A2;ngokoqobo
ad;Noun;B1;ad
adapt;Verb;B2;ukuzivumelanisa
add;Verb;A1;ukwengeza
addition;Noun;B1;Ngaphezu
additional;Adjective;B2;ezongezelelweyo
address;Noun Verb;A1,B2;idilesi
administration;Noun;B2;ulawulo
admire;Verb;B1;oyithandayo
admit;Verb;B1;bayavuma
adopt;Verb;B2;nesimo
adult;Noun adj;A1,A2;abadala
Advance;Noun Verb adj;B2;advance
Advanced;Adjective;B1;Advanced
Advantage;Noun;A2;Ubuhle
Adventure;Noun;A2;isenzo sodelo-ngozi
Advertise;Verb;A2;Yazisa
Advertisement;Noun;A2;isibhengezo
Advertising;Noun;A2;Advertising
Advice;Noun Verb;A1, B1;Advice
affair;Noun;B2;perry
affect;Verb;A2;nomthelela
afford;Verb;B1;imali
afraid;Adjective;A1;esaba
after;prep. conj. Adverb;A1,A2;emva
afternoon;Noun;A1;njakalanga
afterwards;Adverb;B2;gaphambi
again;Adverb;A1;kwakhona
against;prep;A2;phezu
age;Noun Verb;A1, B1;yobudala
aged;Adjective;B1;abaneminyaka
agency;Noun;B2;agency
agenda;Noun;B2;ajenda
agent;Noun;B1;agent
aggressive;Adjective;B2;nochuku
ago;Adverb;A1;edlule
agree;Verb;A1;uyavuma
agreement;Noun;B1;isivumelwano
ah;exclam.;A2;ah
ahead;Adverb;B1;phambili
aid;Noun Verb;B2;aid
aim;Verb Noun;B1;Injongo
air;Noun;A1;umoya
aircraft;Noun;B2;inqwelo-moya
airline;Noun;A2;nkampani
airport;Noun;A1;moya
alarm;Noun Verb;B1, B2;alarm
album;Noun;B1;albhamu
alcohol;Noun;B1;utshwala
alcoholic;Adjective;B1;utshwala
alive;Adjective;A2;uyaphila
all;det. pron, Adverb;A1, A2;bonke
all right;Adjective, Adverb exclam;A2;konke kulungile
allow;Verb;A2;avumele
almost;Adverb;A2;phantse
alone;Adjective, Adverb;A2;kuphela
along;prep. Adverb;A2;kanye
already;Adverb;A2;kakade
also;Adverb;A1;nayo
alter;Verb;B2;Alter
alternative;Noun Adjective;A2, B1;enye
although;conj;A2;Nangona nje
always;Adverb;A1;njalo
amazed;Adjective;B1;bebo-
amazing;Adjective;A1;emangalisayo
ambition;Noun;B1;velela
ambitious;Adjective;B1;ukuvelela
among;prep.;A2;phakathi
amount;Noun Verb;A2, B2;imali
analyse;Verb;B1;hlaziya
analysis;Noun;B1;analysis
ancient;Adjective;A2;yamandulo
and;conj;A1;yaye
anger;Noun;B2;umsindo
angle;Noun;B2;angela
angry;Adjective;A1;nomsindo
animal;Noun;A1;isilwanyana
ankle;Noun;A2;iqatha
anniversary;Noun;B2;usuku enazimanya ngalo
announce;Verb;B1;imemezela
announcement;Noun;B1;isaziso
annoy;Verb;B1;ekukruqulayo
annoyed;Adjective;B1;wavele
annoying;Adjective;B1;ikruqula
annual;Adjective;B2;yonyaka
another;det. proNoun;A1;elinye
answer;Noun Verb;A1;impendulo
anxious;Adjective;B2;nexhala
any;det. proNoun, Adverb;A1, A2;ikhona
anybody;pron;A2;ubani
any more;Adverb;A2;amanye
anyone;pron;A1;ubani
anything;pron;A1;into
anyway;Adverb;A2;kunjalo
anywhere;AdVerb proNoun;A2;kuphi
apart;Adverb;B1;ngaphandle
apartment;Noun;A1;yokuhlala
apologize;Verb;B1;ukuxolisa
app;Noun;A2;app
apparent;Adjective;B2;okubonakala
apparently;Adverb;B2;Kuyabonakala ukuba
appeal;Noun Verb;B2;aphili
appear;Verb;A2;avele
appearance;Noun;A2;ukubonakala
apple;Noun;A1;apile
application;Noun;B1;isicelo
apply;Verb;A2;isicelo
appointment;Noun;B1;ukuqashwa
appreciate;Verb;B1;siqonde
approach;Noun Verb;B2;indlela
appropriate;Adjective;B2;efanele
approval;Noun;B2;imvume
approve;Verb;B2;angavumela
approximately;Adverb;B1;malunga
April;Noun;A1;UTshazimpuzi
architect;Noun;A2;umakhi
architecture;Noun;A2;bokwakha
area;Noun;A1;indawo
argue;Verb;A2;zithethelela
argument;Noun;A2;impikiswano
arise;Verb;B2;kuvela
arm;Noun;A1;ingalo
armed;Adjective;B2;axhobe
arms;Noun;B2;iingalo
army;Noun;A2;impi
around;prep. Adverb;A1;emhlabeni
arrange;Verb;A2;ahlele
arrangement;Noun;A2;lungiselelo
arrest;Verb Noun;B1;ukumbamba
arrival;Noun;B1;ukufika
arrive;Verb;A1;ufika
art;Noun;A1;art
article;Noun;A1;isihloko
artificial;Adjective;B2;lokwenziwa
artist;Noun;A1;umculi
artistic;Adjective;B2;ubuciko
as;prep., Adverb conj.;A1, A2;njengoko
ashamed;Adjective;B2;kudana
asleep;Adjective;A2;ubuthongo
ask;Verb;A1;cela
aspect;Noun;B2;aspect
assess;Verb;B2;ukuhlola
assessment;Noun;B2;yokuhlola
assignment;Noun;B1;sabelo
assist;Verb;B1;ukuncedisa
assistant;Noun Adjective;A2;umncedisi
associate;Verb;B2;kumhlobo
associated;Adjective;B2;ezihambisana
association;Noun;B2;association
assume;Verb;B2;siphethe
at;prep.;A1;e
athlete;Noun;A2;womdlali
atmosphere;Noun;B1;emoyeni
attach;Verb;B1;ulihambise
attack;Noun Verb;A2;ukuhlasela
attempt;Noun Verb;B2;ukuzama
attend;Verb;A2;khona
attention;Noun exclam.;A2;ukunakwa
attitude;Noun;B1;sengqondo
attract;Verb;B1;ukudosa
attraction;Noun;B1;umtsalane
attractive;Adjective;A2;enomtsalane
audience;Noun;A2;ababukeli
August;Noun;A1;EyeThupha
aunt;Noun;A1;anti
author;Noun;A2;umbhali
authority;Noun;B1;igunya
autumn;Noun;A1;ekwindla
available;Adjective;A2;ikhona
average;Adjective, Noun Verb;A2, B1;avareji
avoid;Verb;A2;bakuphepha
award;Noun Verb;A2, B1;indondo
aware;Adjective;B1;bazi
away;Adverb;A1;kude
awful;Adjective;A2;oboyikisayo
baby;Noun;A1;baby
back;Noun AdVerb Adjective, Verb;A1, A2, B2;emva
background;Noun;A2;yangasemva
backwards;Adverb;B1;ubuya umva
bacteria;Noun;B2;bacteria
bad;Adjective;A1;ezimbi
badly;Adverb;A2;kakubi
bag;Noun;A1;bag
bake;Verb;B1;wapheka
balance;Noun Verb;B1;balance
ball;Noun;A1;ibhola
ban;Verb Noun;B1;ban
banana;Noun;A1;ibhanana
band;Noun;A1;band
bank (money);Noun;A1;bank (imali)
bank (river);Noun;B1;bank (lomlambo)
bar;Noun Verb;A2, B2;bar
barrier;Noun;B2;uthango
base;Noun Verb;B1;isiseko
baseball;Noun;A2;baseball
based;Adjective;A2;esekelwe
basketball;Noun;A2;basketball
basic;Adjective;B1;esisiseko
basically;Adverb;B2;kukulawula
basis;Noun;B1;isisekelo
bath;Noun;A1;bath
bathroom;Noun;A1;yangasese
battery;Noun;B1;ibhetri
battle;Noun Verb;B1, B2;impi
be;Verb auxiliary Verb;A1;ibe
beach;Noun;A1;beach
bean;Noun;A2;bean
bear (deal with);Verb;B2;bhere (deal with)
bear (animal);Noun;A2;bhere (zezilwanyana)
beat;Verb Noun;A2, B2;beat
beautiful;Adjective;A1;entle
beauty;Noun;B1;beauty
because;conj.;A1;ngenxa
become;Verb;A1;babe
bed;Noun;A1;embhedeni
bedroom;Noun;A1;lokulala
bee;Noun;B1;bee
beef;Noun;A2;yenkomo
beer;Noun;A1;ibhiya
before;prep., conj. Adverb;A1, A2;ngaphambi kokuba
beg;Verb;B2;sinxuse
begin;Verb;A1;qala
beginning;Noun;A1;ekuqaleni
behave;Verb;A2;imingcele
behaviour;Noun;A2;ukuziphatha
behind;prep. Adverb;A1;emva
being;Noun;B2;being
belief;Noun;B1;inkolelo
believe;Verb;A1;bakholelwa
bell;Noun;B1;intsimbi
belong;Verb;A2;zezikaYe-
below;Adverb prep.;A1;ngezantsi
belt;Noun;A2;nekliphu
bend;Verb Noun;B1;Mani
benefit;Verb NouNoun;A2, B1;inzuzo
bent;Adjective;B2;ayenza
best;Adjective, AdVerb Noun;A1, A2;best
bet;Verb Noun;B2;ukubheja
better;Adjective , Adverb , Noun;A1, A2, B1;engcono
between;prep., Adverb;A1, A2;phakathi
beyond;prep. Adverb;B2;phesheya
bicycle;Noun;A1;ibhayisekili
big;Adjective;A1;big
bike;Noun;A1;ibhayisikili
bill;Noun Verb;A1, B2;bill
billion number; ;A2;billion inombolo
bin;Noun;A2;bin
biology;Noun;A2;eziphilayo
bird;Noun;A1;intaka
birth;Noun;A2;ukuzalwa
birthday;Noun;A1;usuku lokuzalwa
biscuit;Noun;A2;umqathane
bit;Noun;A2;bit
bite;Verb Noun;B1;ibalume
bitter;Adjective;B2;kukrakra
black;Adjective, Noun;A1;mnyama
blame;Verb Noun;B2;basolwe
blank;Adjective, Noun;A2;blank
blind;Adjective;B2;ukungaboni
block;Noun Verb;B1;block
blog;Noun;A1;blog
blonde;Adjective;A1;blonde
blood;Noun;A2;igazi
blow;Verb;A2;igalelo
blue;Adjective, Noun;A1;luhlaza
board;Noun Verb;A2, B1;ibhodi
boat;Noun;A1;umkhumbi
body;Noun;A1;umzimba
boil;Verb;A2;yethumba
bomb;Noun Verb;B1;kuqhunyiswe
bond;Noun;B2;bond
bone;Noun;A2;ithambo
book;Noun Verb;A1, A2;incwadi
boot;Noun;A1;ukuqalelisa ngokungafanelekanga ikhompyutha
border;Noun Verb;B1, B2;komda
bored;Adjective;A1;nesithukuthezi
boring;Adjective;A1;-dinisa-dinayo
born;Verb;A1;ozelwe
borrow;Verb;A2;waboleka
boss;Noun;A2;boss
both;det./proNoun;A1;kokubili
bother;Verb;B1;usamkhathazelani
bottle;Noun;A1;ibhotile
bottom;NouNoun Adjective;A2;bottom
bowl;Noun;A2;isitsha
box;Noun;A1;ibhokisi
boy;Noun;A1;umfana
boyfriend;Noun;A1;isoka
brain;Noun;A2;ubuchopho
branch;Noun;B1;yesebe
brand;Noun Verb;B1;brand
brave;Adjective;B1;ngamaqhawe
bread;Noun;A1;ukudla
break;Verb Noun;A1;ikhefu
breakfast;Noun;A1;kwasekuseni
breast;Noun;B2;lwebele
breath;Noun;B1;umoya
breathe;Verb;B1;uphefumle
breathing;Noun;B1;ukuphefumla
bride;Noun;B1;umakoti
bridge;Noun;A2;bridge
brief;Adjective;B2;okufushane
bright;Adjective;A2;elikhanyayo
brilliant;Adjective;A2;brilliant
bring;Verb;A1;ungenise
broad;Adjective;B2;ebanzi
broadcast;Verb Noun;B2;broadcast
broken;Adjective;A2;baphuke
brother;Noun;A1;ubhuti
brown;Adjective, Noun;A1;ntsundu
brush;Verb Noun;A2;brush
bubble;Noun;B1;obusenza
budget;Noun;B2;imali
build;Verb;A1;kwakhiwa
building;Noun;A1;isakhiwo
bullet;Noun;B2;bullet
bunch;Noun;B2;esithengiswayo
burn;Verb Noun;A2, B2;atshise
bury;Verb;B1;bangcwabe
bus;Noun;A1;ibhasi
bush;Noun;B2;bush
business;Noun;A1;ishishini
businessman;Noun;A2;usomashishini
busy;Adjective;A1;ndixakekile
but;conj. prep;A1, B2;kodwa
butter;Noun;A1;ibhotolo
button;Noun;A2;iqhosha
buy;Verb;A1;thenga
by;prep. Adverb;A1, B1;yi
bye;exclam;A1;bye
cable;Noun;B2;cable
cafe;Noun;A1;cafe
cake;Noun;A1;ikhekhe
calculate;Verb;B2;Calculate
call;Verb Noun;A1;call
calm;Adjective Verb Noun;B1;ezolile
camera;Noun;A1;camera
camp;Noun Verb;A2;eminqubeni
campaign;Noun Verb;B1;umkhankaso
camping;Noun;A2;sihlala
campus;Noun;B1;campus
can1;modal Verb;A1;can1
can2;Noun;A2;can2
cancel;Verb;B2;rhoxisa
cancer;Noun;B2;umhlaza
candidate;Noun;B1;umgqatswa
cannot;Verb;A1;ayikwazi
cap;Noun;B1;cap
capable;Adjective;B2;ikwazi
capacity;Noun;B2;umthamo
capital;Noun Adjective;A1;capital
captain;Noun;B1;induna
capture;Verb Noun;B2;lungabanjwa
car;Noun;A1;imoto
card;Noun;A1;ikhadi
care;Noun Verb;A2;ukunakekela
career;Noun;A1;career
careful;Adjective;A2;qaphela
carefully;Adverb;A2;ngokucophelela
careless;Adjective;B1;madodakazi
carpet;Noun;A2;ekhaphethini
carrot;Noun;A1;iminqatha
carry;Verb;A1;ekuthwaleni
cartoon;Noun;A2;cartoon
case;Noun;A2;icala
cash;Noun;A2;imali
cast;Noun Verb;B2;cast
castle;Noun;A2;nqaba
cat;Noun;A1;cat
catch;Verb Noun;A2, B2;catch
category;Noun;B1;isigaba
cause;Noun Verb;A2;isizathu
CD;Noun;A1;CD
ceiling;Noun;B1;yophahla
celebrate;Verb;A2;ukugubha
celebration;Noun;B1;celebration
celebrity;Noun;A2;udumo
cell;Noun;B2;iseli
cent;Noun;A1;cent
central;Adjective;B1;central
centre;Noun Verb;A1, B1;nendawo
century;Noun;A1;ngekhulu
ceremony;Noun;B1;mkhosi
certain;Adjective;A2;ezithile
certainly;Adverb;A2;ngokuqinisekile
chain;Noun Verb;B1, B2;chain
chair;Noun Verb;A1, B2;isitulo
chairman;Noun;B2;usihlalo
challenge;Noun Verb;B1, B2;mngeni
champion;Noun;B1;iqhawe
chance;Noun;A2;ithuba
change;Verb Noun;A1;utshintsho
channel;Noun;B1;channel
chapter;Noun;B1;isahluko
character;Noun;A2;uphawu
characteristic;Noun Adjective;B2;uphawu
charge;Noun Verb;B1;ophethe
charity;Noun;A2;sa
chart;Noun Verb;A1, B2;itshathi
chat;Verb Noun;A2;wengxoxo
cheap;Adjective , Adverb;A1, B1;zibiza
cheat;Verb Noun;B1;ukukopela
check;Verb Noun;A1, A2;uhlole
chef;Noun;A2;chef
cheerful;Adjective;B1;ochwayithileyo
cheese;Noun;A1;cheese
chemical;Adjective, Noun;B1;chemical
chemistry;Noun;A2;neyezinto
chest;Noun;B1;esifubeni
chicken;Noun;A1;inkukhu
chief;Adjective, Noun;B2;abakhulu
child;Noun;A1;umntwana
childhood;Noun;B1;ebuntwaneni
chip;Noun;A2;chip
chocolate;Noun;A1;chocolate
choice;Noun;A2;ukukhetha
choose;Verb;A1;khetha
church;Noun;A2;ibandla
cigarette;Noun;A2;cigarette
cinema;Noun;A1;cinema
circle;Noun Verb;A2;circle
circumstance;Noun;B2;isimo
cite;Verb;B2;zilandise
citizen;Noun;B2;ummi
city;Noun;A1;emzini
civil;Adjective;B2;civil
claim;Verb Noun;B1;Kleyima
class;Noun;A1;iklasi
classic;Adjective, Noun;B2;Classic
classical;Adjective;A2;classical
classroom;Noun;A1;eklasini
clause;Noun;B1;igatya
clean;Adjective, Verb;A1;ezihlambulukileyo
clear;Adjective, Verb;A2, B1;kucace
clearly;Adverb;A2;ngokucacileyo
clever;Adjective;A2;uhlakaniphile
click;Verb Noun;B1;nqakraza
client;Noun;B1;client
climate;Noun;A2;sezulu
climb;Verb Noun;A1, B1;enyuka
clock;Noun;A1;clock
close1;Verb Noun;A1, B2;close1
close2;Adjective , Adverb;A2, B1;close2
closed;Adjective;A2;evaliweyo
closely;Adverb;B2;eduze
cloth;Noun;B1;ingubo
clothes;Noun;A1;iimpahla
clothing;Noun;A2;impahla
cloud;Noun;A2;ifu
club;Noun;A1;club
clue;Noun;B1;inkomba
coach;Noun Verb;A2, B1;umqeqeshi
coal;Noun;B1;amalahle
coast;Noun;A2;ugu
coat;Noun;A1;ingubo
code;Noun;A2;code
coffee;Noun;A1;kofu
coin;Noun;B1;lwemali
cold;Adjective Noun;A1;esibandayo
collapse;Verb Noun;B2;nciphisa
colleague;Noun;A2;asebenza
collect;Verb;A2;egcwalisa
collection;Noun;B1;collection
college;Noun;A1;college
colour;Noun;A1;umbala
coloured;Adjective;B1;olunombala
column;Noun;A2;column
combination;Noun;B2;ukuhlanganiswa
combine;Verb;B1;hlanganisa
come;Verb;A1;eze
comedy;Noun;A2;ehlekisayo
comfort;Noun Verb;B2;phambi-
comfortable;Adjective;A2;ukhululekile
command;Noun Verb;B2;umyalelo
comment;Noun Verb;A2, B1;izimvo
commercial;Adjective Noun;B1;commercial
commission;Noun Verb;B2;ikhomishini
commit;Verb;B1;enze
commitment;Noun;B2;ukuzibophelela
committee;Noun;B2;ikomiti
common;Adjective Noun;A1;kuvamile
commonly;Adverb;B2;ngokuqhelekileyo
communicate;Verb;A2;ukuxoxa
communication;Noun;B1;unxibelelwano
community;Noun;A2;umphakathi
company;Noun;A1;inkampani
compare;Verb;A1;thelekisa
comparison;Noun;B1;sifaniso
compete;Verb;A2;ukukhuphisana
competition;Noun;A2;ukhuphiswano
competitor;Noun;B1;Idols
competitive;Adjective;B1;wokhuphiswano
complain;Verb;A2;ukukhalaza
complaint;Noun;B1;isikhalazo
complete;Adjective Verb;A1;epheleleyo
completely;Adverb;A2;ngokupheleleyo
complex;Adjective, Noun;B1, B2;complex
complicated;Adjective;B2;okunzima
component;Noun;B2;ngxenye
computer;Noun;A1;computer
concentrate;Verb;B1;mxube
concentration;Noun;B2;yoxinaniso
concept;Noun;B2;concept
concern;Noun Verb;B2;ukukhathalela
concerned;Adjective;B2;echaphazelekayo
concert;Noun;A1;ikhonsati
conclude;Verb;B1;aphethe
conclusion;Noun;B1;isiphelo
condition;Noun;A2;isimo
conduct;Verb Noun;B2;ukuziphatha
conference;Noun;A2;inkomfa
confidence;Noun;B2;ithemba
confident;Adjective;B1;ungaqiniseka
confirm;Verb;B1;ziqinisekisa
conflict;Noun Verb;B2;ingxabano
confuse;Verb;B1;siphambanise
confused;Adjective;B1;udidekile
confusing;Adjective;B2;bekudidekisa
connect;Verb;A2;Connect
connected;Adjective;A2;ehlobene
connection;Noun;B1;uqhagamshelo
conscious;Adjective;B2;abazi
consequence;Noun;B1;ngenxa
conservative;Adjective, Noun;B2;ngokonga
consider;Verb;A2;sihlole
consideration;Noun;B2;ingqalelo
consist;Verb;B1;zimi
consistent;Adjective;B2;kuhambelana
constant;Adjective;B2;njalo
constantly;Adverb;B2;njalo
construct;Verb;B2;ephathelene
construction;Noun;B2;zokwakha
consume;Verb;B1;kudla
consumer;Noun;B1;umthengi
contact;Noun Verb;B1;contact
contain;Verb;A2;ibe
container;Noun;B1;container
contemporary;Adjective;B2;owayephila
content;Noun;B1;isiqulatho
contest;Noun Verb;B2;contest
context;Noun;A2;umongo
continent;Noun;A2;izwekazi
continue;Verb;A2;uqhubeke
continuous;Adjective;B1;okuqhubekayo
contract;Noun Verb;B2;isivumelwano
contrast;Noun Verb;B1;umahluko
contribute;Verb;B2;isandla
contribution;Noun;B2;igalelo
control;Noun Verb;A2;ukulawula
convenient;Adjective;B1;elula
conversation;Noun;A1;ingxoxo
convert;Verb;B2;okuguqula
convince;Verb;B1;ukuqinisekisa
convinced;Adjective;B2;waqiniseka
cook;Verb Noun;A1, A2;ukupheka
cooker;Noun;A2;cooker
cooking;Noun;A1;ukupheka
cool;Adjective, Verb;A1, B1;kuhle
copy;Noun Verb;A2;ikopi
core;Noun Adjective;B2;core
corner;Noun;A2;yegumbi
corporate;Adjective;B2;corporate
correct;Adjective Verb;A1;ilungile
correctly;Adverb;A2;ngokuchanekileyo
cost;Noun Verb;A1;iindleko
costume;Noun;B1;Idrama
cottage;Noun;B1;cottage
cotton;Noun;B1;cotton
could;Verb;A1;ayikwazanga
council;Noun;B2;yebhunga
count;Verb Noun;A2, B1;ukubala
country;Noun;A1;lizwe
countryside;Noun;B1;emaphandleni
county;Noun;B2;County
couple;Noun;A2;sibini
courage;Noun;B2;isibindi
course;Noun;A1;ke
court;Noun;B1;enkantolo
cousin;Noun;A1;umzala
cover;Verb Noun;A2, B1;ikhava
covered;Adjective;B1;zagutyungelwa
cow;Noun;A1;inkomo
crash;Noun Verb;B2;crash
crazy;Adjective;A2;crazy
cream;Noun Adjective;A1, B1;cream
create;Verb;A1;ukudala
creation;Noun;B2;indalo
creative;Adjective;A2;creative
creature;Noun;B2;isidalwa
credit;Noun Verb;A2, B2;credit
crew;Noun;B2;crew
crime;Noun;A2;ulwaphulo-mthetho
criminal;Noun Adjective;A2, B1;yolwaphulo
crisis;Noun;B2;crisis
criterion;Noun;B2;bemfuno
critic;Noun;B2;umgxeki
critical;Adjective;B2;kakhulu
criticism;Noun;B2;ukugxekwa
criticize;Verb;B2;agxeke
crop;Noun;B2;isivuno
cross;Verb Noun;A2;cross
crowd;Noun;A2;ntshungu
crowded;Adjective;A2;ukugcwala
crucial;Adjective;B2;kubalulekile
cruel;Adjective;B1;unya
cry;Verb Noun;A2, B2;ukukhala
cultural;Adjective;B1;kwamasiko
culture;Noun;A1;isiko
cup;Noun;A1;indebe
cupboard;Noun;A2;nekhabhathi
cure;Verb Noun;B2;gula
curly;Adjective;A2;ikheli
currency;Noun;B1;lwemali
current;Adjective, Noun;B1, B2;yangoku
currently;Adverb;B1;okwangoku
curtain;Noun;B1;nekhethini
curve;Noun Verb;B2;ijika
curved;Adjective;B2;egobile
custom;Noun;B1;siko
customer;Noun;A1;umthengi
cut;Verb , Noun;A1, B1;cut
cycle;Noun Verb;A2, B1;umjikelezo
dad;Noun;A1;ubaba
daily;Adjective, Adverb;A2, B1;yonke imihla
damage;Noun Verb;B1;umonakalo
dance;Noun Verb;A1;dance
dancer;Noun;A1;dancer
dancing;Noun;A1;isina
danger;Noun;A2;Ingozi
dangerous;Adjective;A1;eziyingozi
dark;Adjective, Noun;A1, A2;emnyama
data;Noun;A2;idatha
date;Noun Verb;A1, B2;usuku
daughter;Noun;A1;intomba
day;Noun;A1;usuku
dead;Adjective;A2;abafileyo
deal;Verb Noun;A2, B1;deal
dear;Adjective, exclam;A1, A2;abathandekayo
death;Noun;A2;ukufa
debate;Noun Verb;B2;mpikiswano
debt;Noun;B2;debt
decade;Noun;B1;shumi
December;Noun;A1;EtiMnga
decent;Adjective;B2;ezisezingeni
decide;Verb;A1;isigqibo
decision;Noun;A2;isinqumo
declare;Verb;B2;lokubhengeza
decline;Verb Noun;B2;ukwehla
decorate;Verb;B1;hombisa
decoration;Noun;B2;umhombiso
decrease;Verb Noun;B2;nciphisa
deep;Adjective, Adverb;A2, B1;nzulu
deeply;Adverb;B2;kakhulu
defeat;Verb Noun;B2;yokwehlulwa
defence;Noun;B2;ukuziphendulela
defend;Verb;B2;ukulwela
define;Verb;B1;ukuchaza
definite;Adjective;B1;wawucacisa
definitely;Adverb;A2;nakanjani
definition;Noun;B1;definition
degree;Noun;A2;degree
delay;Verb Noun;B2;ukulibaziseka
deliberate;Adjective;B2;abhunge
deliberately;Adverb;B2;ngabom
delicious;Adjective;A1;nandi
delight;Verb Noun;B2;injabulo
delighted;Adjective;B2;Ndonywatyisiwe
deliver;Verb;B1;akhulule
delivery;Noun;B2;ukunikezelwa
demand;Noun Verb;B2;isidingo
demonstrate;Verb;B2;babonise
dentist;Noun;A2;wamazinyo
deny;Verb;B2;ukuphika
department;Noun;A2;isebe
departure;Noun;B1;ukuhamba
depend;Verb;A2;zixhomekeke
depressed;Adjective;B2;udangele
depressing;Adjective;B2;xi
depth;Noun;B2;ukujula
describe;Verb;A1;uchaze
description;Noun;A1;incazelo
desert;Noun Verb;A2, B2;intlango
deserve;Verb;B2;bafanelwe
design;Noun Verb;A1;design
designer;Noun;A2;mqambi
desire;Noun Verb;B2;inkanuko
