a, an;indefinite, article;A1;אַ, אַ
abandon;Verb;B2;פאַרלאָזן
ability;Noun;A2;פיייקייַט
able;Adjective;A2;קענען
about;prep. Adverb;A1;וועגן
above;prep. Adverb;A1;העכער
abroad;Adverb;A2;אויסלאנד
absolute;Adjective;B2;אַבסאָלוט
absolutely;Adverb;B1;לעגאַמרע
academic;adj, Noun;B1, B2;אַקאַדעמיק
accept;Verb;A2;אָננעמען
acceptable;Adjective;B2;פּאַסיק
access;Noun Verb;B1;צוטריט
accident;Noun;A2;צופאַל
accommodation;Noun;B1;אַקקאָממאָדאַטיאָן
accompany;Verb;B2;באַגלייטן
according to;prep.;A2;לויט
account;Noun Verb;B1, B2;באַריכט
accurate;Adjective;B2;פּינטלעך
accuse;Verb;B2;באַשולדיקן
achieve;Verb;A2;דערגרייכן
achievement;Noun;B1;דערגרייה
acknowledge;Verb;B2;באַשטעטיקן
acquire;Verb;B2;קריגן
across;prep. Adverb;A1;אַריבער
act;Verb Noun;A2,B1;אַקט
action;Noun;A1;קאַמף
active;Adjective;A2;אַקטיוו
activity;Noun;A1;טעטיקייט
actor;Noun;A1;אַקטיאָר
actress;Noun;A1;אַקטריסע
actual;Adjective;B2;פאַקטיש
actually;Adverb;A2;אַקשלי
ad;Noun;B1;אַד
adapt;Verb;B2;אַדאַפּט
add;Verb;A1;לייג צו
addition;Noun;B1;דערצו
additional;Adjective;B2;נאָך
address;Noun Verb;A1,B2;אַדרעס
administration;Noun;B2;אַדמיניסטראַציע
admire;Verb;B1;באַווונדערן
admit;Verb;B1;אַרייַנלאָזן
adopt;Verb;B2;אַדאַפּט
adult;Noun adj;A1,A2;דערוואַקסן
Advance;Noun Verb adj;B2;שטייַגן
Advanced;Adjective;B1;אַוואַנסירטע
Advantage;Noun;A2;מייַלע
Adventure;Noun;A2;פּאַסירונג
Advertise;Verb;A2;מעלדן
Advertisement;Noun;A2;אַדווערטייזמאַנט
Advertising;Noun;A2;גאַנצע
Advice;Noun Verb;A1, B1;ייצע
affair;Noun;B2;ייסעק
affect;Verb;A2;ווירקן
afford;Verb;B1;פאַרגינענ זיך
afraid;Adjective;A1;דערשראָקן
after;prep. conj. Adverb;A1,A2;נאָך
afternoon;Noun;A1;נאָכמיטאָג
afterwards;Adverb;B2;דערנאָכדעם
again;Adverb;A1;ווידער
against;prep;A2;קעגן
age;Noun Verb;A1, B1;עלטער
aged;Adjective;B1;אַלט
agency;Noun;B2;אַגענטור
agenda;Noun;B2;אַגענדאַ
agent;Noun;B1;אַגענט
aggressive;Adjective;B2;אַגרעסיוו
ago;Adverb;A1;צוריק
agree;Verb;A1;שטימען
agreement;Noun;B1;העסקעם
ah;exclam.;A2;אַה
ahead;Adverb;B1;פאָרויס
aid;Noun Verb;B2;הילף
aim;Verb Noun;B1;ציל
air;Noun;A1;לופט
aircraft;Noun;B2;AIRCRAFT
airline;Noun;A2;ערליין
airport;Noun;A1;אַעראָפּאָרט
alarm;Noun Verb;B1, B2;שרעק
album;Noun;B1;אלבאם
alcohol;Noun;B1;אַלקאָהאָל
alcoholic;Adjective;B1;אַלקאָהאָליקער
alive;Adjective;A2;לעבעדיק
all;det. pron, Adverb;A1, A2;אַלע
all right;Adjective, Adverb exclam;A2;אלעס אין ארדענונג
allow;Verb;A2;לאָזן
almost;Adverb;A2;קימאַט
alone;Adjective, Adverb;A2;אַליין
along;prep. Adverb;A2;צוזאמען
already;Adverb;A2;שוין
also;Adverb;A1;אויך
alter;Verb;B2;יבערבייַטן
alternative;Noun Adjective;A2, B1;אנדער ברירה
although;conj;A2;כאָטש
always;Adverb;A1;אַלע מאָל
amazed;Adjective;B1;דערשטוינט
amazing;Adjective;A1;וואונדערליך
ambition;Noun;B1;אַמביציע
ambitious;Adjective;B1;אַמביציעס
among;prep.;A2;צווישן
amount;Noun Verb;A2, B2;סומע
analyse;Verb;B1;פונאַנדערקלייַבן
analysis;Noun;B1;אַנאַליסיס
ancient;Adjective;A2;פאַרצייַטיק
and;conj;A1;און
anger;Noun;B2;קאַס
angle;Noun;B2;ווינקל
angry;Adjective;A1;בייז
animal;Noun;A1;כייַע
ankle;Noun;A2;קנעכל
anniversary;Noun;B2;יאָרטאָג
announce;Verb;B1;מעלדן
announcement;Noun;B1;מעלדן
annoy;Verb;B1;שטערן
annoyed;Adjective;B1;אַנויד
annoying;Adjective;B1;אַנויינג
annual;Adjective;B2;יערלעך
another;det. proNoun;A1;אן אנדער
answer;Noun Verb;A1;ענטפער
anxious;Adjective;B2;באַזאָרגט
any;det. proNoun, Adverb;A1, A2;קיין
anybody;pron;A2;אַבי ווער
any more;Adverb;A2;קיין מער
anyone;pron;A1;ווער עס יז
anything;pron;A1;עפּעס
anyway;Adverb;A2;סייַ ווי סייַ
anywhere;AdVerb proNoun;A2;ערגעץ
apart;Adverb;B1;באַזונדער
apartment;Noun;A1;וווינונג
apologize;Verb;B1;אַנטשולדיקן
app;Noun;A2;אַפּ
apparent;Adjective;B2;קלאָר
apparently;Adverb;B2;משמעות
appeal;Noun Verb;B2;אַפּעלירן
appear;Verb;A2;זיך באווייזן
appearance;Noun;A2;אויסזען
apple;Noun;A1;עפּל
application;Noun;B1;אַפּלאַקיישאַן
apply;Verb;A2;צולייגן
appointment;Noun;B1;אַפּוינטמאַנט
appreciate;Verb;B1;אָפּשאַצן
approach;Noun Verb;B2;צוגאַנג
appropriate;Adjective;B2;געהעריק
approval;Noun;B2;האַסקאָמע
approve;Verb;B2;אַפּרווו
approximately;Adverb;B1;בעערעך
April;Noun;A1;אַפּריל
architect;Noun;A2;אַרכיטעקט
architecture;Noun;A2;אַרקאַטעקטשער
area;Noun;A1;געגנט
argue;Verb;A2;טייַנען
argument;Noun;A2;אַרגומענט
arise;Verb;B2;ופקומען
arm;Noun;A1;אָרעם
armed;Adjective;B2;אַרמד
arms;Noun;B2;געווער
army;Noun;A2;אַרמיי
around;prep. Adverb;A1;אַרום
arrange;Verb;A2;צולייגן
arrangement;Noun;A2;אָרדענונג
arrest;Verb Noun;B1;אַרעסטירן
arrival;Noun;B1;אָנקומען
arrive;Verb;A1;אָנקומען
art;Noun;A1;קונסט
article;Noun;A1;אַרטיקל
artificial;Adjective;B2;קינסטלעך
artist;Noun;A1;קינסטלער
artistic;Adjective;B2;אַרטיסטישע
as;prep., Adverb conj.;A1, A2;ווי
ashamed;Adjective;B2;פאַרשעמט
asleep;Adjective;A2;שלאָפנדיק
ask;Verb;A1;פרעגן
aspect;Noun;B2;אַספּעקט
assess;Verb;B2;אַססעסס
assessment;Noun;B2;אַסעסמאַנט
assignment;Noun;B1;אַסיינמאַנט
assist;Verb;B1;אַרוישעלפן
assistant;Noun Adjective;A2;אַסיסטאַנט
associate;Verb;B2;מיטאַרבעטער
associated;Adjective;B2;פֿאַרבונדן
association;Noun;B2;פאַרבאַנד
assume;Verb;B2;יבערנעמען
at;prep.;A1;בייַ
athlete;Noun;A2;אַטלעט
atmosphere;Noun;B1;אַטמאָספער
attach;Verb;B1;צוטשעפּען
attack;Noun Verb;A2;באַפאַלן
attempt;Noun Verb;B2;פּרווון
attend;Verb;A2;באַדינער
attention;Noun exclam.;A2;ופמערקזאַמקייַט
attitude;Noun;B1;שטעלונג
attract;Verb;B1;צוציען
attraction;Noun;B1;אַטראַקשאַן
attractive;Adjective;A2;אַטראַקטיוו
audience;Noun;A2;וילעם
August;Noun;A1;ויגוסט
aunt;Noun;A1;מומע
author;Noun;A2;מחבר
authority;Noun;B1;אויטאָריטעט
autumn;Noun;A1;האַרבסט
available;Adjective;A2;פאַראַנען
average;Adjective, Noun Verb;A2, B1;דורכשניטלעך
avoid;Verb;A2;ויסמייַדן
award;Noun Verb;A2, B1;אַוואָרד
aware;Adjective;B1;אַווער
away;Adverb;A1;אַוועק
awful;Adjective;A2;שרעקלעך
baby;Noun;A1;בייבי
back;Noun AdVerb Adjective, Verb;A1, A2, B2;צוריק
background;Noun;A2;הינטערגרונט
backwards;Adverb;B1;קאַפּויער
bacteria;Noun;B2;באַקטיריאַ
bad;Adjective;A1;שלעכט
badly;Adverb;A2;באַדלי
bag;Noun;A1;זעקל
bake;Verb;B1;באַקן
balance;Noun Verb;B1;וואָג
ball;Noun;A1;פּילקע
ban;Verb Noun;B1;פאַרבאָט
banana;Noun;A1;באַנאַנע
band;Noun;A1;באַנדע
bank (money);Noun;A1;באַנק (געלט)
bank (river);Noun;B1;באַנק (טייַך)
bar;Noun Verb;A2, B2;באַר
barrier;Noun;B2;שלאַבאַן
base;Noun Verb;B1;באַזע
baseball;Noun;A2;בייסבאָל
based;Adjective;A2;באזירט
basketball;Noun;A2;קוישבאָל
basic;Adjective;B1;יקערדיק
basically;Adverb;B2;בייסיקלי
basis;Noun;B1;יקער
bath;Noun;A1;וואַנע
bathroom;Noun;A1;קלאָזעט
battery;Noun;B1;באַטאַרייע
battle;Noun Verb;B1, B2;שלאַכט
be;Verb auxiliary Verb;A1;זייַן
beach;Noun;A1;ברעג
bean;Noun;A2;בעבל
bear (deal with);Verb;B2;בער (האַנדלען מיט)
bear (animal);Noun;A2;בער (כייַע)
beat;Verb Noun;A2, B2;שלאָגן
beautiful;Adjective;A1;שיין
beauty;Noun;B1;שיינקייַט
because;conj.;A1;ווייַל
become;Verb;A1;ווערן
bed;Noun;A1;בעט
bedroom;Noun;A1;שלאָפצימער
bee;Noun;B1;בין
beef;Noun;A2;רינדערנס
beer;Noun;A1;ביר
before;prep., conj. Adverb;A1, A2;פריער
beg;Verb;B2;בעטן
begin;Verb;A1;אָנהייבן
beginning;Noun;A1;אָנהייב
behave;Verb;A2;ביכייוו
behaviour;Noun;A2;אָפּפירונג
behind;prep. Adverb;A1;הינטער
being;Noun;B2;ווייל
belief;Noun;B1;גלויבן
believe;Verb;A1;גלייבן
bell;Noun;B1;גלאָק
belong;Verb;A2;געהערן
below;Adverb prep.;A1;ונטער
belt;Noun;A2;גאַרטל
bend;Verb Noun;B1;בייגן
benefit;Verb NouNoun;A2, B1;נוץ
bent;Adjective;B2;בענט
best;Adjective, AdVerb Noun;A1, A2;בעסטער
bet;Verb Noun;B2;געוועט
better;Adjective , Adverb , Noun;A1, A2, B1;בעסער
between;prep., Adverb;A1, A2;צווישן
beyond;prep. Adverb;B2;ווייַטער פון
bicycle;Noun;A1;וועלאָסיפּעד
big;Adjective;A1;גרויס
bike;Noun;A1;בייק
bill;Noun Verb;A1, B2;רעכענונג
