a, an;indefinite, article;A1;a, ohun
abandon;Verb;B2;kọ
ability;Noun;A2;agbara
able;Adjective;A2;anfani
about;prep. Adverb;A1;nipa
above;prep. Adverb;A1;loke
abroad;Adverb;A2;odi
absolute;Adjective;B2;idi
absolutely;Adverb;B1;Egba
academic;adj, Noun;B1, B2;omowe
accept;Verb;A2;gba
acceptable;Adjective;B2;itewogba
access;Noun Verb;B1;wiwọle
accident;Noun;A2;ijamba
accommodation;Noun;B1;ibugbe
accompany;Verb;B2;rin
according to;prep.;A2;gẹgẹ bi
account;Noun Verb;B1, B2;iroyin
accurate;Adjective;B2;deede
accuse;Verb;B2;ẹsùn
achieve;Verb;A2;se aseyori
achievement;Noun;B1;aseyori
acknowledge;Verb;B2;jẹwọ
acquire;Verb;B2;gba
across;prep. Adverb;A1;kọja
act;Verb Noun;A2,B1;sise
action;Noun;A1;igbese
active;Adjective;A2;ti nṣiṣe lọwọ
activity;Noun;A1;aṣayan iṣẹ-ṣiṣe
actor;Noun;A1;osere
actress;Noun;A1;oṣere
actual;Adjective;B2;gangan
actually;Adverb;A2;kosi
ad;Noun;B1;ad
adapt;Verb;B2;orisirisi si
add;Verb;A1;fi
addition;Noun;B1;afikun
additional;Adjective;B2;afikun
address;Noun Verb;A1,B2;adirẹsi
administration;Noun;B2;isakoso
admire;Verb;B1;ẹwà
admit;Verb;B1;gba
adopt;Verb;B2;gba
adult;Noun adj;A1,A2;agbalagba
Advance;Noun Verb adj;B2;advance
Advanced;Adjective;B1;To ti ni ilọsiwaju
Advantage;Noun;A2;anfani
Adventure;Noun;A2;ìrìn
Advertise;Verb;A2;polowo
Advertisement;Noun;A2;ipolongo
Advertising;Noun;A2;Ipolowo
Advice;Noun Verb;A1, B1;Advice
affair;Noun;B2;ibalopọ
affect;Verb;A2;ni ipa
afford;Verb;B1;irewesi
afraid;Adjective;A1;bẹru
after;prep. conj. Adverb;A1,A2;lẹhin
afternoon;Noun;A1;Friday
afterwards;Adverb;B2;lehin
again;Adverb;A1;lẹẹkansi
against;prep;A2;lodi si
age;Noun Verb;A1, B1;ọjọ ori
aged;Adjective;B1;ori
agency;Noun;B2;ibẹwẹ
agenda;Noun;B2;agbese
agent;Noun;B1;oluranlowo
aggressive;Adjective;B2;ibinu
ago;Adverb;A1;ago
agree;Verb;A1;gba
agreement;Noun;B1;adehun
ah;exclam.;A2;ah
ahead;Adverb;B1;niwaju
aid;Noun Verb;B2;iranlowo
aim;Verb Noun;B1;Ero
air;Noun;A1;air
aircraft;Noun;B2;ofurufu
airline;Noun;A2;ile ise oko ofurufu
airport;Noun;A1;papa
alarm;Noun Verb;B1, B2;itaniji
album;Noun;B1;album
