a, an;indefinite, article;A1;a, i
abandon;Verb;B2;ukulahla
ability;Noun;A2;ikhono
able;Adjective;A2;ukwazi
about;prep. Adverb;A1;mayelana
above;prep. Adverb;A1;ngenhla
abroad;Adverb;A2;phesheya
absolute;Adjective;B2;eliphelele
absolutely;Adverb;B1;ngokuphelele
academic;adj, Noun;B1, B2;zezemfundo
accept;Verb;A2;ukwamukela
acceptable;Adjective;B2;eyamukelekayo
access;Noun Verb;B1;ukufinyelela
accident;Noun;A2;ingozi
accommodation;Noun;B1;yokuhlala
accompany;Verb;B2;ahambisane
according to;prep.;A2;ngokuvumelana ne
account;Noun Verb;B1, B2;akhawunti
accurate;Adjective;B2;olunembile
accuse;Verb;B2;ongabeka
achieve;Verb;A2;sifinyelele
achievement;Noun;B1;impumelelo
acknowledge;Verb;B2;ukumazisa
acquire;Verb;B2;zithole
across;prep. Adverb;A1;ngaphesheya
act;Verb Noun;A2,B1;isinyathelo
action;Noun;A1;isinyathelo
active;Adjective;A2;asebenzayo
activity;Noun;A1;umsebenzi
actor;Noun;A1;umlingisi
actress;Noun;A1;actress
actual;Adjective;B2;langempela
actually;Adverb;A2;empeleni
ad;Noun;B1;isikhangiso
adapt;Verb;B2;guqula lokhu akubhalayo nakwethulayo
add;Verb;A1;engeza
addition;Noun;B1;Ngaphezu
additional;Adjective;B2;ezengeziwe
address;Noun Verb;A1,B2;ikheli
administration;Noun;B2;abaphathi
admire;Verb;B1;Admire
admit;Verb;B1;mukela
adopt;Verb;B2;zamukele
adult;Noun adj;A1,A2;omdala
Advance;Noun Verb adj;B2;Advance
Advanced;Adjective;B1;Advanced
Advantage;Noun;A2;Advantage
Adventure;Noun;A2;nokuzidela
Advertise;Verb;A2;Khangisa
Advertisement;Noun;A2;Isikhangiso
Advertising;Noun;A2;Ukukhangisa
Advice;Noun Verb;A1, B1;iseluleko
affair;Noun;B2;indaba
affect;Verb;A2;ezithinta
afford;Verb;B1;ukukhokhela
afraid;Adjective;A1;esabe
after;prep. conj. Adverb;A1,A2;ngemuva
afternoon;Noun;A1;ntambama
afterwards;Adverb;B2;emva kwalokho
again;Adverb;A1;futhi
against;prep;A2;ngokumelene
age;Noun Verb;A1, B1;ubudala
aged;Adjective;B1;oneminyaka engu-
agency;Noun;B2;ejensi
agenda;Noun;B2;ajenda
agent;Noun;B1;ejenti
aggressive;Adjective;B2;nolaka
ago;Adverb;A1;edlule
agree;Verb;A1;uyavumelana
agreement;Noun;B1;sivumelwano
ah;exclam.;A2;ah
ahead;Adverb;B1;phambili
aid;Noun Verb;B2;usizo
aim;Verb Noun;B1;inhloso
air;Noun;A1;emoyeni
aircraft;Noun;B2;izindiza
airline;Noun;A2;yezindiza
airport;Noun;A1;sezindiza
